TEAM,AD,Twitter,Active in past week?,Active in past month?,Active in past year?,Ever active?,Interim/Notes,Handle,
Air Force,Nathan Pine,nate_pine,Yes,Yes,Yes,Yes,,nate_pine,https://www.twitter.com/nate_pine
Akron,Charles Guthrie,UAkron_AD,Yes,Yes,Yes,Yes,,UAkron_AD,https://www.twitter.com/UAkron_AD
Alabama,Greg Byrne,Greg_Byrne,Yes,Yes,Yes,Yes,,Greg_Byrne,https://www.twitter.com/Greg_Byrne
Appalachian State,Doug Gillin,DougGillin,Yes,Yes,Yes,Yes,,DougGillin,https://www.twitter.com/DougGillin
Arizona,Dave Heeke,Dave_Heeke,Yes,Yes,Yes,Yes,,Dave_Heeke,https://www.twitter.com/Dave_Heeke
Arizona State,Ray Anderson,SunDevilRay23,Yes,Yes,Yes,Yes,,SunDevilRay23,https://www.twitter.com/SunDevilRay23
Arkansas,Hunter Yurachek,HunterYurachek,Yes,Yes,Yes,Yes,,HunterYurachek,https://www.twitter.com/HunterYurachek
Arkansas State,Jeff Purinton,JeffPurinton,Yes,Yes,Yes,Yes,,JeffPurinton,https://www.twitter.com/JeffPurinton
Army,Mike Buddie,Buddie52,Yes,Yes,Yes,Yes,,Buddie52,https://www.twitter.com/Buddie52
Auburn,John Cohen,JohnCohenAD,Yes,Yes,Yes,Yes,,JohnCohenAD,https://www.twitter.com/JohnCohenAD
Ball State,Ken Bothof* (INTERIM),No,No,No,No,No,INTERIM,,
Baylor,Mack Rhoades,BUMackRhoades,No,No,No,No,,BUMackRhoades,https://www.twitter.com/BUMackRhoades
Boise State,Jeramiah Dickey,JeramiahDickey,Yes,Yes,Yes,Yes,,JeramiahDickey,https://www.twitter.com/JeramiahDickey
Boston College,Blake James,BCBlakeJames,No,No,Yes,Yes,,BCBlakeJames,https://www.twitter.com/BCBlakeJames
Bowling Green,Stacy Kosciak* (INTERIM),StacyKosciak,No,Yes,Yes,Yes,INTERIM,StacyKosciak,https://www.twitter.com/StacyKosciak
Buffalo,Mark Alnutt,Alnutt41,Yes,Yes,Yes,Yes,,Alnutt41,https://www.twitter.com/Alnutt41
BYU,Tom Holmoe,TomHolmoe,Yes,Yes,Yes,Yes,,TomHolmoe,https://www.twitter.com/TomHolmoe
California,Jim Knowlton,ADCalBears,No,No,No,Yes,,ADCalBears,https://www.twitter.com/ADCalBears
Central Michigan,Amy Folan,AmyFolan,Yes,Yes,Yes,Yes,,AmyFolan,https://www.twitter.com/AmyFolan
Charlotte,Mike Hill,rmikehill,Yes,Yes,Yes,Yes,,rmikehill,https://www.twitter.com/rmikehill
Cincinnati,John Cunningham,Cunningham_UC,No,Yes,Yes,Yes,,Cunningham_UC,https://www.twitter.com/Cunningham_UC
Clemson,Graham Neff,GrahamNeff,No,Yes,Yes,Yes,,GrahamNeff,https://www.twitter.com/GrahamNeff
Coastal Carolina,Matt Hogue,No,No,No,No,No,,,
Colorado,Rick George,RickGeorgeCU,Yes,Yes,Yes,Yes,,RickGeorgeCU,https://www.twitter.com/RickGeorgeCU
Colorado State,Joe Parker,JoeParkerAD,Yes,Yes,Yes,Yes,,JoeParkerAD,https://www.twitter.com/JoeParkerAD
Connecticut,David Benedict,UConnHuskyAD,Yes,Yes,Yes,Yes,,UConnHuskyAD,https://www.twitter.com/UConnHuskyAD
Duke,Nina King,ninaking22,Yes,Yes,Yes,Yes,,ninaking22,https://www.twitter.com/ninaking22
East Carolina,Jon Gilbert,No,No,No,No,No,,,
Eastern Michigan,Scott Wetherbee,scottrwetherbee,No,No,No,Yes,,scottrwetherbee,https://www.twitter.com/scottrwetherbee
Florida Atlantic,Brian White,Brian_E_White_,Yes,Yes,Yes,Yes,,Brian_E_White_,https://www.twitter.com/Brian_E_White_
Florida,Scott Stricklin,ScottStricklin,Yes,Yes,Yes,Yes,,ScottStricklin,https://www.twitter.com/ScottStricklin
Florida International,Scott Carr,ScottCarrAD,Yes,Yes,Yes,Yes,,ScottCarrAD,https://www.twitter.com/ScottCarrAD
Florida State,Michael Alford,SeminoleAlford,Yes,Yes,Yes,Yes,,SeminoleAlford,https://www.twitter.com/SeminoleAlford
Fresno State,Terry Tumey,FresnoState_AD,Yes,Yes,Yes,Yes,,FresnoState_AD,https://www.twitter.com/FresnoState_AD
Georgia,Josh Brooks,Brooks_UGA,Yes,Yes,Yes,Yes,,Brooks_UGA,https://www.twitter.com/Brooks_UGA
Georgia Southern,Jared Benko,JaredBenko,Yes,Yes,Yes,Yes,,JaredBenko,https://www.twitter.com/JaredBenko
Georgia State,Charlie Cobb,CCobbGaStateAD,No,No,Yes,Yes,,CCobbGaStateAD,https://www.twitter.com/CCobbGaStateAD
Georgia Tech,J Batt,GTBattman,Yes,Yes,Yes,Yes,,GTBattman,https://www.twitter.com/GTBattman
Hawai'i,David Matlin,DavidAKMatlin,No,Yes,Yes,Yes,,DavidAKMatlin,https://www.twitter.com/DavidAKMatlin
Houston,Chris Pezman,Cpezman,Yes,Yes,Yes,Yes,,Cpezman,https://www.twitter.com/Cpezman
Illinois,Josh Whitman,IlliniAD,Yes,Yes,Yes,Yes,,IlliniAD,https://www.twitter.com/IlliniAD
